http://org.softlang.com/EcorePackageGenmodel,stargazers_count,pushed_at,http://org.softlang.com/EcorePackageXMI,http://org.softlang.com/qegal/EE,http://org.softlang.com/Folder,language,repository,http://org.softlang.com/Ant,genmodel,http://org.softlang.com/qegal/EJ1,http://org.softlang.com/qegal/EJ3,http://org.softlang.com/Pom,http://org.softlang.com/qegal/EJ2,http://org.softlang.com/Gradle,http://org.softlang.com/EcorePackageJava,state,http://org.softlang.com/File,http://org.softlang.com/EcoreClassifierJava,http://org.softlang.com/EcoreClassifierXMI,duplicates,http://org.softlang.com/qegal/E,http://org.softlang.com/qegal/G,http://org.softlang.com/Ecore,sha,http://org.softlang.com/qegal/EJJ,http://org.softlang.com/correspondsTo,eobject,http://org.softlang.com/qegal/J,size,http://org.softlang.com/partOf,ecore,default_branch,http://org.softlang.com/qegal/EJc2,components,sha_data,http://org.softlang.com/manifestsAs,created_at,http://org.softlang.com/Genmodel,http://org.softlang.com/uri,http://org.softlang.com/refersTo,updated_at,http://org.softlang.com/EcoreFactoryJava,http://org.softlang.com/name,http://org.softlang.com/OSGiProject,uniform_build,http://org.softlang.com/XML,http://org.softlang.com/nsUri,http://org.softlang.com/Manifest,http://org.softlang.com/refOccurs,http://org.softlang.com/Java,http://org.softlang.com/elementOf,http://org.softlang.com/Xtext,time,watchers_count,http://org.softlang.com/nsPrefix,forks_count,exception_in_process,http://org.softlang.com/Emfatic,http://org.softlang.com/QVTo,http://org.softlang.com/Acceleo,http://org.softlang.com/Sirius,http://org.softlang.com/GMF,http://org.softlang.com/Xpand,http://org.softlang.com/JET,http://org.softlang.com/ATL,http://org.softlang.com/IncQuery,http://org.softlang.com/OCL,http://org.softlang.com/EOL,http://org.softlang.com/Xcore,http://org.softlang.com/Eugenia,http://org.softlang.com/EVL,http://org.softlang.com/EGL
2.0,5.0,2016-10-18T21:37:42Z,2.0,,30.0,Java,dsevilla/uForth,0.0,2.0,,2.0,0.0,,0.0,2.0,done,68.0,10.0,11.0,0.0,2.0,2.0,2.0,5b6847f855eed85cef2fcd43d68e79a5bc6d2870,,12.0,14.0,2.0,1940.0,112.0,2.0,master,1.0,1.0,2016-10-18T21:37:41Z,98.0,2013-05-18T21:50:52Z,2.0,21.0,2.0,2017-04-02T19:02:56Z,2.0,11.0,2.0,True,13.0,17.0,1.0,18.0,39.0,89.0,,813,5.0,2.0,1.0,,,,,,,1,,,,,,,,,
2.0,5.0,2017-04-28T10:10:16Z,2.0,,134.0,Java,cdietrich/mql,0.0,2.0,,2.0,0.0,,0.0,2.0,done,171.0,8.0,8.0,0.0,2.0,2.0,2.0,42155590fdd62fd70c4c6f3f82ccd35cc4ea4711,,10.0,6.0,2.0,3442.0,316.0,2.0,master,,1.0,2016-08-08T12:23:22Z,305.0,2012-07-13T15:07:28Z,2.0,16.0,,2017-04-01T11:59:18Z,2.0,8.0,7.0,True,29.0,14.0,1.0,85.0,100.0,171.0,2,765,5.0,2.0,2.0,,,,,,,,,,,,,,,,
1.0,5.0,2016-06-16T10:45:37Z,1.0,,91.0,Java,getgauge-contrib/Gauge-Eclipse,0.0,1.0,,1.0,0.0,,0.0,1.0,done,177.0,13.0,13.0,0.0,1.0,1.0,1.0,e173eee27c757ae8357727d78fd7b29a39bdce98,,14.0,8.0,1.0,22084.0,282.0,1.0,master,,1.0,2016-06-16T10:45:36Z,268.0,2015-02-27T11:00:02Z,1.0,26.0,,2017-06-19T12:08:35Z,1.0,13.0,4.0,True,33.0,16.0,1.0,51.0,101.0,174.0,1,734,5.0,1.0,2.0,,,,,,,,,,,,,,,,
1.0,5.0,2012-05-30T15:11:11Z,1.0,,59.0,Java,svenefftinge/Guice-Modules-DSL,0.0,1.0,,1.0,0.0,,0.0,1.0,done,82.0,5.0,5.0,0.0,1.0,1.0,1.0,d2deb89b5dfdb069c65dc611eb105eb832c30824,,6.0,5.0,1.0,880.0,147.0,1.0,master,,1.0,2012-05-30T15:10:21Z,141.0,2011-03-29T03:58:52Z,1.0,10.0,,2017-08-08T15:48:45Z,1.0,5.0,3.0,True,14.0,8.0,1.0,32.0,48.0,84.0,1,656,5.0,1.0,1.0,,,,,,,,,,,,,,,,
1.0,5.0,2015-11-27T10:44:18Z,1.0,,179.0,C,openETCS/dataDictionary,0.0,1.0,,1.0,0.0,,0.0,1.0,done,2372.0,9.0,9.0,0.0,1.0,1.0,1.0,4427da9844c8532cc62c358f5b3b3c1a6cd1b03f,,10.0,6.0,1.0,10839.0,2561.0,1.0,master,,1.0,2015-11-27T10:44:17Z,2551.0,2013-11-13T09:11:26Z,1.0,18.0,1.0,2016-12-03T04:36:28Z,1.0,9.0,2.0,True,17.0,12.0,1.0,5.0,29.0,74.0,,2094,5.0,1.0,4.0,,,,,,,,,,,,,,,,
1.0,5.0,2012-07-16T19:36:23Z,1.0,,69.0,Java,adinn/byteman-eclipse-prototype,0.0,1.0,,1.0,0.0,,0.0,1.0,done,193.0,57.0,57.0,0.0,1.0,1.0,1.0,d43fa71ab31b34316be6d7a9184d7658621683c5,,58.0,16.0,1.0,708.0,320.0,1.0,master,,1.0,2012-07-16T19:34:49Z,262.0,2012-03-16T15:34:43Z,1.0,114.0,,2015-11-05T06:52:06Z,1.0,57.0,3.0,True,14.0,60.0,1.0,35.0,158.0,298.0,1,656,5.0,1.0,0.0,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,java.lang.NullPointerException,,,,,,,,,,,,,,,
"",5.0,2017-10-18T17:02:20Z,55.0,34.0,183.0,HTML,ModelDriven/SIMF,0.0,0.0,55.0,,0.0,,0.0,,done,938.0,,356.0,0.0,55.0,,3.0,effe6ff7cae8b944feb714fab6f84bb5a900d197,,,0.0,,634140.0,1531.0,3.0,master,,1.0,2017-10-18T17:01:56Z,1121.0,2015-05-04T17:55:49Z,,356.0,,2018-01-15T13:05:57Z,,356.0,1.0,True,74.0,411.0,1.0,2.0,,490.0,,5613,5.0,52.0,2.0,,,1,,,,,,,,,,,,,
1.0,5.0,2011-08-16T02:35:59Z,1.0,,34.0,Java,eclipse-soc/amalgamation-examples-emf,0.0,1.0,,1.0,0.0,,0.0,1.0,done,655.0,54.0,54.0,0.0,1.0,1.0,1.0,0bb04a1c2cbe6d9e4d9eaa599cc2d741e38c697b,,55.0,20.0,1.0,462.0,744.0,1.0,master,,1.0,2011-08-16T02:24:11Z,689.0,2011-08-14T20:11:47Z,1.0,108.0,1.0,2014-03-29T22:23:39Z,1.0,54.0,3.0,True,14.0,57.0,1.0,12.0,384.0,518.0,,781,5.0,1.0,1.0,,,,,,,,,,,,,,,,
2.0,4.0,2012-07-05T21:34:31Z,2.0,,212.0,Java,stylpe/Thesis,0.0,2.0,,2.0,0.0,,0.0,2.0,done,1785.0,21.0,24.0,0.0,2.0,2.0,2.0,953b1c50a65d8d573480ff77396fe6d1d6bcbc07,,21.0,4.0,2.0,175764.0,2024.0,2.0,master,1.0,1.0,2012-05-20T21:39:16Z,1997.0,2011-10-09T14:48:01Z,2.0,45.0,2.0,2017-08-21T19:06:51Z,2.0,24.0,6.0,True,34.0,30.0,1.0,39.0,86.0,189.0,,2110,4.0,2.0,2.0,,,,,,,,,,,,,,,,
3.0,4.0,2012-04-24T11:55:57Z,3.0,2.0,172.0,Java,RvonMassow/Xrest,0.0,3.0,,3.0,0.0,,0.0,2.0,done,297.0,19.0,27.0,0.0,3.0,3.0,3.0,85147be83b06dd37ec33ae5aaa87654463005a1d,,30.0,10.0,2.0,14172.0,501.0,3.0,master,,1.0,2012-04-24T11:55:49Z,469.0,2012-04-18T13:13:39Z,3.0,46.0,1.0,2017-01-09T09:14:20Z,2.0,27.0,8.0,True,43.0,34.0,1.0,79.0,140.0,261.0,2,968,4.0,3.0,0.0,,,,,,,,,,,,,,,,
13.0,4.0,2016-02-25T15:41:31Z,28.0,,98.0,Java,jdelara/DSL-tao,0.0,5.0,21.0,7.0,0.0,,0.0,7.0,done,556.0,72.0,184.0,0.0,28.0,13.0,26.0,f3e4b230c3d2a1299541f727d7d568493c357daf,,79.0,62.0,7.0,61691.0,878.0,26.0,master,,1.0,2016-02-25T15:41:23Z,654.0,2014-10-26T10:05:37Z,5.0,256.0,5.0,2017-08-03T19:55:29Z,7.0,184.0,6.0,True,59.0,226.0,1.0,54.0,397.0,810.0,,1188,4.0,28.0,2.0,,,,,,,,,,,,,,,,
1.0,4.0,2016-10-06T15:05:31Z,1.0,,109.0,Java,diverse-project/models2016-program,0.0,1.0,,1.0,0.0,,0.0,1.0,done,179.0,32.0,28.0,0.0,1.0,1.0,1.0,210e462eb512fadfcfa75f35c9588908b0ff644b,,29.0,12.0,1.0,3746.0,317.0,1.0,master,,1.0,2016-10-06T15:05:27Z,288.0,2016-05-12T12:52:18Z,1.0,60.0,1.0,2016-09-19T22:20:54Z,1.0,28.0,4.0,True,17.0,31.0,1.0,27.0,86.0,177.0,1,719,4.0,1.0,1.0,,,,,,,,,,,,,,,,
1.0,4.0,2010-10-29T15:36:55Z,1.0,,61.0,Java,JanKoehnlein/ESE-2010-Tutorial,0.0,1.0,,1.0,0.0,,0.0,1.0,done,113.0,6.0,6.0,0.0,1.0,1.0,1.0,7e8e1f56187f72d0567c70ce299616eca13be2d8,,7.0,8.0,1.0,9715.0,181.0,1.0,master,,1.0,2010-10-29T15:36:45Z,174.0,2010-10-20T15:52:50Z,1.0,12.0,1.0,2017-06-16T03:11:51Z,1.0,6.0,3.0,True,19.0,9.0,1.0,21.0,53.0,96.0,1,750,4.0,1.0,0.0,,,,,,,,,,,,,,,,
1.0,4.0,2015-06-06T03:45:06Z,1.0,,140.0,Java,uqbar-project/xtext-tortuga-lang,0.0,1.0,,1.0,0.0,,0.0,1.0,done,442.0,46.0,46.0,0.0,1.0,1.0,1.0,e0affe88cdfa8481d508922fa05e85538cf05335,,47.0,7.0,1.0,2048.0,629.0,1.0,master,,1.0,2015-06-06T03:45:04Z,582.0,2015-06-06T03:37:15Z,1.0,92.0,,2017-09-13T04:53:12Z,1.0,46.0,3.0,True,18.0,49.0,1.0,32.0,137.0,259.0,2,844,4.0,1.0,1.0,,,,,,,,,,,,,,,,
"",4.0,2012-07-17T13:40:39Z,,,219.0,0,sabev/sap-services-registry-eclipse,0.0,0.0,,,0.0,,0.0,,done,660.0,,,0.0,,,,0b5b0a669852b3846d23e8f27b2ecceba91eaf55,,,2.0,,471.0,878.0,0.0,master,,1.0,2012-07-17T13:38:54Z,879.0,2012-07-17T07:41:15Z,,,,2016-03-14T04:02:04Z,,,12.0,True,89.0,,1.0,125.0,507.0,620.0,,844,4.0,,1.0,,,,,,,,,,,,,,,,
3.0,4.0,2011-09-12T10:31:17Z,3.0,,99.0,Java,schmeedy/Joomla-Eclipse,0.0,3.0,,3.0,0.0,,0.0,3.0,done,244.0,36.0,39.0,0.0,3.0,3.0,3.0,a859995f492638e9a90f0afbeacc7a354aeb9bef,,38.0,34.0,3.0,672.0,387.0,3.0,master,2.0,1.0,2011-09-12T10:33:07Z,343.0,2011-03-01T21:32:30Z,3.0,75.0,3.0,2018-01-06T18:23:18Z,3.0,39.0,6.0,True,28.0,48.0,1.0,57.0,169.0,302.0,,687,4.0,3.0,2.0,,,,,,,,,,,,,,,,
5.0,4.0,2018-01-07T10:40:52Z,7.0,3.0,280.0,Java,nspan/ASEME,0.0,5.0,,7.0,0.0,,0.0,5.0,done,1060.0,19.0,27.0,0.0,7.0,5.0,7.0,53a0273380924150ff34d0979e7ed3bcb219e00e,,34.0,30.0,5.0,8203.0,1378.0,7.0,master,,1.0,2018-01-07T10:40:52Z,1340.0,2012-02-17T10:33:50Z,5.0,46.0,5.0,2018-02-11T19:32:57Z,5.0,27.0,25.0,True,119.0,44.0,1.0,239.0,660.0,909.0,,1204,4.0,7.0,2.0,,,,,,5,4,,,,,,,,,
1.0,3.0,2008-12-21T00:22:23Z,1.0,,75.0,Java,ugosan/molic,0.0,1.0,,1.0,0.0,,0.0,1.0,done,294.0,12.0,11.0,0.0,1.0,1.0,1.0,012489fbbf64f19138943f1d3294fe79525584e8,,12.0,13.0,1.0,840.0,381.0,1.0,master,,1.0,2008-12-21T00:21:57Z,369.0,2008-12-20T23:43:52Z,1.0,23.0,1.0,2016-05-08T20:08:03Z,1.0,11.0,6.0,True,26.0,14.0,1.0,86.0,192.0,259.0,,682,3.0,1.0,0.0,,,,,,1,,,,,,,,,,
2.0,3.0,2014-10-03T10:06:39Z,2.0,,139.0,Java,szarnekow/testing-multiple-dsls,0.0,2.0,,2.0,0.0,,0.0,2.0,done,190.0,4.0,4.0,0.0,2.0,2.0,2.0,46832d26e38223851ab41a42ce374981b7f15b22,,6.0,4.0,2.0,224.0,336.0,2.0,master,,1.0,2014-10-03T10:06:29Z,329.0,2014-10-03T09:27:01Z,2.0,8.0,,2018-01-09T09:45:56Z,2.0,4.0,6.0,True,24.0,10.0,1.0,67.0,86.0,142.0,2,657,3.0,2.0,0.0,,,,,,,,,,,,,,,,
1.0,3.0,2015-06-26T13:23:05Z,1.0,,104.0,Java,fmca/Tupi,0.0,1.0,,1.0,0.0,,0.0,1.0,done,216.0,20.0,20.0,0.0,1.0,1.0,1.0,db03abeeb7fa7f1d5760ff625beb5e3e75a7f044,,21.0,20.0,1.0,5369.0,341.0,1.0,master,,1.0,2015-06-26T13:21:11Z,320.0,2015-04-08T13:32:47Z,1.0,40.0,,2017-04-07T14:14:05Z,1.0,20.0,3.0,True,23.0,23.0,1.0,30.0,89.0,164.0,1,754,3.0,1.0,0.0,,,,,,,,,,,,,,,,
1.0,3.0,2011-07-11T15:04:25Z,2.0,2.0,206.0,Java,eclipse-soc/amalgamation-examples,0.0,1.0,,2.0,0.0,,0.0,1.0,done,1334.0,101.0,202.0,0.0,2.0,1.0,2.0,f31fc043e6b12d23dea0d6a2d64d2c6653c9017e,,204.0,47.0,1.0,32925.0,1744.0,2.0,master,,1.0,2011-07-11T15:03:59Z,1540.0,2011-05-13T11:05:03Z,1.0,303.0,1.0,2014-02-02T12:16:46Z,1.0,202.0,9.0,True,66.0,206.0,1.0,64.0,859.0,1254.0,1,1110,3.0,2.0,1.0,,,,7,,,,,,,,,,,,
"",3.0,2013-09-16T22:06:49Z,2.0,2.0,459.0,Java,perego-pezzetti/MobileCodeGenerator,0.0,0.0,2.0,,0.0,,0.0,,done,1258.0,,50.0,0.0,2.0,,2.0,c723da17fe7921a43ad726403a954c527c22a25b,,,0.0,,9924.0,1768.0,2.0,master,,1.0,2013-09-16T22:06:49Z,1717.0,2013-09-07T09:42:00Z,,50.0,,2017-06-28T19:51:08Z,,50.0,1.0,True,246.0,52.0,1.0,17.0,56.0,358.0,,1468,3.0,2.0,4.0,,,,,,,104,,,,,,,,,
4.0,3.0,2016-01-27T08:07:33Z,6.0,5.0,40.0,Java,amlModeling/amlMetaModel,0.0,3.0,2.0,7.0,0.0,,0.0,3.0,done,269.0,40.0,176.0,0.0,6.0,4.0,6.0,48175b1e18f7f127c6a701327e825257f69b1c06,3.0,120.0,18.0,3.0,451.0,494.0,6.0,master,6.0,1.0,2016-01-27T08:07:04Z,309.0,2015-03-17T14:43:26Z,3.0,216.0,3.0,2018-02-07T12:41:39Z,3.0,176.0,2.0,True,33.0,188.0,1.0,6.0,213.0,491.0,,703,3.0,6.0,6.0,,,,,,,,,,,,,,,,
1.0,3.0,2014-03-09T13:37:35Z,1.0,,76.0,Java,DesignAndDeploy/dnd,0.0,1.0,,1.0,0.0,,0.0,1.0,done,429.0,,7.0,0.0,1.0,1.0,1.0,05a0c6b7692a750021308d57fc5a4e9568c00275,,1.0,8.0,1.0,56082.0,513.0,1.0,master,1.0,1.0,2014-03-09T13:35:28Z,505.0,2013-05-15T16:12:44Z,1.0,7.0,,2014-03-09T13:37:35Z,1.0,7.0,1.0,True,6.0,10.0,1.0,9.0,342.0,363.0,,1172,3.0,1.0,0.0,,,,,,,,,,,,,,,,
1.0,3.0,2018-02-19T08:52:09Z,1.0,,139.0,Java,OceletTeam/ocelet,0.0,1.0,,1.0,0.0,,0.0,1.0,done,535.0,32.0,32.0,0.0,1.0,1.0,1.0,2dd7f926e3f59bda01c629580963518de4345eea,,33.0,12.0,1.0,34050.0,707.0,1.0,master,,1.0,2018-02-19T08:51:59Z,674.0,2015-01-25T04:11:32Z,1.0,64.0,,2018-02-20T14:40:17Z,1.0,32.0,7.0,True,25.0,35.0,1.0,49.0,265.0,374.0,1,1261,3.0,1.0,2.0,,,,,,,,,,,,,,,,
2.0,3.0,2016-09-07T14:24:18Z,2.0,,156.0,Java,mundacho/stratagem,0.0,2.0,,2.0,0.0,,0.0,2.0,done,309.0,29.0,30.0,0.0,2.0,2.0,2.0,f03c2e7f5333d26cd65666b25e731502e3d741a4,,31.0,10.0,2.0,1678.0,498.0,2.0,master,1.0,1.0,2016-09-07T14:24:18Z,465.0,2013-06-20T13:08:18Z,2.0,59.0,2.0,2016-08-19T09:08:15Z,2.0,30.0,6.0,True,33.0,36.0,1.0,52.0,102.0,218.0,1,859,3.0,2.0,3.0,,,,,,,,,,,,,,,,
2.0,3.0,2018-02-21T15:15:24Z,2.0,2.0,282.0,Java,thesave/aiocj,0.0,2.0,,2.0,0.0,,0.0,1.0,done,483.0,40.0,80.0,0.0,2.0,2.0,2.0,7cc8c88db7affc441654bc71be045b14eaa9b4f7,,82.0,35.0,1.0,32532.0,848.0,2.0,master,,1.0,2017-02-06T17:09:20Z,765.0,2016-03-15T19:21:41Z,2.0,120.0,,2018-01-26T09:46:04Z,1.0,80.0,3.0,True,23.0,84.0,1.0,30.0,144.0,303.0,2,1047,3.0,2.0,2.0,,,,,,,,,,,,,,,,
1.0,3.0,2012-05-31T17:52:50Z,1.0,,18.0,Java,siarmehri/AddressBookFinal-,0.0,1.0,,1.0,0.0,,0.0,1.0,done,129.0,3.0,3.0,0.0,1.0,1.0,1.0,eb811a9427f9859278f04b6c662d21bcf96a7247,,4.0,6.0,1.0,2228.0,151.0,1.0,master,,1.0,2012-05-31T17:52:32Z,147.0,2012-05-29T13:04:22Z,1.0,6.0,1.0,2014-04-14T04:15:52Z,1.0,3.0,1.0,True,13.0,6.0,1.0,2.0,25.0,52.0,,906,3.0,1.0,0.0,,,,,,,,,,,,,,,,
1.0,3.0,2016-02-21T15:55:19Z,2.0,,92.0,Java,kentis/MVCore,0.0,1.0,1.0,1.0,0.0,,0.0,1.0,done,382.0,12.0,65.0,0.0,2.0,1.0,2.0,089ec332437e031799fbd41af3e218f001ebc560,,13.0,17.0,1.0,17545.0,541.0,2.0,master,,1.0,2016-02-21T15:54:39Z,474.0,2010-08-02T14:44:45Z,1.0,77.0,1.0,2017-07-22T09:50:19Z,1.0,65.0,6.0,True,39.0,69.0,1.0,58.0,182.0,318.0,,781,3.0,2.0,0.0,,,,,,1,,,,,,,,,,
"",3.0,2014-02-23T21:44:57Z,2.0,,69.0,Java,ossmeter/msr14-challenge,0.0,0.0,2.0,,0.0,,0.0,,done,108.0,,14.0,0.0,2.0,,2.0,b8aa97552053982a8cab58a1ac19f7c0c5749f1d,,,0.0,,1708.0,192.0,2.0,master,,1.0,2014-02-23T21:44:42Z,177.0,2014-02-21T16:56:36Z,,,,2015-02-19T22:03:54Z,,,1.0,True,12.0,,1.0,2.0,13.0,45.0,,703,3.0,,0.0,,2,,,,,,,,,,,,,,
